{'train_acc_eval_mode': 0.5319499877591928, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.535799986422062, 'test_acc_train_mode': 0.535799986422062}
{'train_acc_eval_mode': 0.6791833173235258, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.6701999852061271, 'test_acc_train_mode': 0.6701999852061271}
{'train_acc_eval_mode': 0.7541999824841817, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.7482999807596207, 'test_acc_train_mode': 0.7482999807596207}
{'train_acc_eval_mode': 0.19814999454965193, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.19829999528825282, 'test_acc_train_mode': 0.19829999528825282}
{'train_acc_eval_mode': 0.20673332773149014, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20969999462366104, 'test_acc_train_mode': 0.20969999462366104}
{'train_acc_eval_mode': 0.1746666619554162, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.17689999520778657, 'test_acc_train_mode': 0.17689999520778657}
{'train_acc_eval_mode': 0.2082166607429584, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2103999948501587, 'test_acc_train_mode': 0.2103999948501587}
{'train_acc_eval_mode': 0.20706666108220817, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20879999473690986, 'test_acc_train_mode': 0.20879999473690986}
{'train_acc_eval_mode': 0.20511666090538105, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2077999947965145, 'test_acc_train_mode': 0.2077999947965145}
{'train_acc_eval_mode': 0.2082666608815392, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2064999932050705, 'test_acc_train_mode': 0.2064999932050705}
